11:09 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
11:18 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
11:20 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
11:24 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
11:26 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
11:30 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
11:33 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
11:35 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
11:37 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
16:02 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
16:15 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
16:25 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
16:28 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
20:28 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
20:29 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
20:31 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
20:32 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
20:39 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
20:40 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
20:45 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
20:45 || Warning ||  || 测试Warning ||  ||end 
20:55 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
20:55 || Warning ||  || 测试Warning ||  ||end 
21:02 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
21:03 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
21:05 || Warning || Microsoft.AspNetCore.Http.ResponseCookies || The cookie '"XSRF-TOKEN"' has set 'SameSite=None' and must also set 'Secure'. ||  ||end 
